
2025/03/13 (20:00:18) | ===> btop++ v.1.4.0
2025/03/13 (20:00:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/13 (20:00:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/13 (20:00:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (01:48:53) | ===> btop++ v.1.4.0
2025/03/19 (01:48:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/19 (01:48:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/19 (01:48:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (19:52:10) | ===> btop++ v.1.4.0
2025/03/19 (19:52:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/19 (19:52:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/19 (19:52:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (20:32:02) | ===> btop++ v.1.4.0
2025/03/19 (20:32:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/19 (20:32:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/19 (20:32:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (00:09:01) | ===> btop++ v.1.4.0
2025/03/21 (00:09:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (00:09:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/21 (00:09:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (00:27:17) | ===> btop++ v.1.4.0
2025/03/21 (00:27:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (00:27:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/21 (00:27:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (01:37:34) | ===> btop++ v.1.4.0
2025/03/21 (01:37:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (01:37:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/21 (01:37:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (00:30:25) | ===> btop++ v.1.4.0
2025/03/26 (00:30:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/26 (00:30:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/26 (00:30:25) | WARNING: Intel GPU: Failed to initialize PMU

